['5664.7', 'Batch size: 37']
['5694.4', 'Batch size: 32']
['5697.0', 'Batch size: 25']
['5723.0', 'Batch size: 31']
['5724.0', 'Batch size: 20']
['5732.5', 'Batch size: 23']
['5736.0', 'Batch size: 40']
['5741.8', 'Batch size: 33']
['5743.0', 'Batch size: 50']
['5754.9', 'Batch size: 43']
['5755.5', 'Batch size: 21']
['5756.5', 'Batch size: 45']
['5758.4', 'Batch size: 27']
['5758.4', 'Batch size: 28']
['5759.6', 'Batch size: 38']
['5764.4', 'Batch size: 26']
['5771.0', 'Batch size: 29']
['5771.7', 'Batch size: 41']
['5776.5', 'Batch size: 47']
['5779.0', 'Batch size: 35']
['5796.0', 'Batch size: 36']
['5810.0', 'Batch size: 30']
['5814.9', 'Batch size: 49']
['5817.2', 'Batch size: 22']
['5841.2', 'Batch size: 34']
['5843.6', 'Batch size: 24']
['5920.4', 'Batch size: 39']
['5936.8', 'Batch size: 44']
['5940.0', 'Batch size: 42']
['5956.4', 'Batch size: 46']
['5998.8', 'Batch size: 48']
